seed,n,dt,n_train,n_test,fitted_a,fitted_a_plus_b,fitted_b,fitted_sigma2_inf,fitted_beta,test_mean_mae,test_var_mae,mean_w2_persistence,mean_w2_gaussian,mean_w2_jko,n_mean_pairs
10,200,0.05,12,8,1.3075405637193505,1.6342195263654993,0.3266789626461488,0.5494120854058867,0.8978599579914894,0.016375129838962783,0.02300204363623709,0.07068730533732696,0.062038047277597645,nan,12
11,200,0.05,12,8,0.8306223992456252,1.6636089277786539,0.8329865285330287,0.5156871919123338,0.8579018164064626,0.011323916091394326,0.014854468644177263,0.07376320370604914,0.06386274083988051,nan,12
12,200,0.05,12,8,0.8166788794293917,1.7793347633924652,0.9626558839630736,0.5462715840557667,0.9720000197638948,0.011570488654279024,0.02169123651791159,0.07051838970524252,0.06178977019140233,nan,12
13,200,0.05,12,8,0.8805116354991599,1.5388296125803014,0.6583179770811415,0.3263479751842274,0.5021939282191105,0.019276171013602246,0.017697175026884192,0.07387586830477891,0.059695738604018195,nan,12
14,200,0.05,12,8,0.8649336061247261,1.7880496262836805,0.9231160201589543,0.592789938056,1.059937827205757,0.00903168065456296,0.03208025833459034,0.06594903722824902,0.058526714562608925,nan,12
15,200,0.05,12,8,0.9376815089847148,1.6471479374017597,0.7094664284170449,0.38970606512855277,0.6419035413694515,0.011753606157024622,0.02012485995608812,0.06893630028044158,0.0603218261420517,nan,12
16,200,0.05,12,8,1.3058509005158119,1.536226221482296,0.23037532096648405,0.2532248627124415,0.38901067403010714,0.013018514786316805,0.029640671533516308,0.05846023850924222,0.05497526057474486,nan,12
17,200,0.05,12,8,0.8356142505261577,1.1270346897428167,0.29142043921665906,-0.34631934682676435,-0.3903139176028373,0.007987923463975186,0.0621768042488363,0.07086948329269101,0.07246413708813318,nan,12
18,200,0.05,12,8,1.1123431571982911,1.3708602643118821,0.258517107113591,0.11575171269529426,0.15867942346002414,0.01811240520542986,0.03335439577312389,0.06991696254897366,0.0627035319162994,nan,12
19,200,0.05,12,8,1.090794020305519,1.3080423958897405,0.2172483755842214,0.12206194104700671,0.15966219381407892,0.011689219672732717,0.03166771162141359,0.07211179778843121,0.06346125565488837,nan,12
20,200,0.05,12,8,1.1190699044896497,1.5114047889944071,0.3923348845047574,0.23527837506661187,0.3556008628224995,0.012212194032246527,0.022280374709297494,0.07091122464641612,0.058723385393977874,nan,12
21,200,0.05,12,8,1.006683833889841,1.3560035813234768,0.3493197474336358,0.3240475388816203,0.4394096232425357,0.016804126971445815,0.018225993660591758,0.07236528015040256,0.0623763036037164,nan,12
22,200,0.05,12,8,0.975816318434884,1.4381927126170508,0.4623763941821668,0.16967500489086462,0.24402535554730395,0.009810415047013361,0.016340819662608655,0.06864171175332906,0.0574630028396769,nan,12
23,200,0.05,12,8,1.103802967139454,1.8125112717715568,0.7087083046321028,0.5406588342483057,0.979950231257924,0.007148402953314911,0.0425684438587043,0.06971109065949702,0.060377677747290144,nan,12
24,200,0.05,12,8,0.8929302932579842,1.5759301585709378,0.6829998653129535,0.38273945895118633,0.603170656236298,0.016241720990985878,0.02238967151458053,0.06838732666027904,0.06140070373298344,nan,12
25,200,0.05,12,8,1.0387077345248765,1.9479231318787145,0.9092153973538379,0.6714187151371053,1.3078720463918525,0.009961409156503613,0.03938008797114892,0.06873065918590676,0.06473511020475067,nan,12
26,200,0.05,12,8,0.8930545789802316,1.5308801302070567,0.6378255512268252,0.38753679823958315,0.5932723841490389,0.012590620202312372,0.022338728609925654,0.07332781922293183,0.06188643978680509,nan,12
27,200,0.05,12,8,0.7888136487308763,1.5320237758930617,0.7432101271621854,0.4793777285699968,0.7344180778028457,0.008203654131959219,0.017965252524019704,0.07114117334795975,0.06111094099033168,nan,12
28,200,0.05,12,8,0.8487238101297385,1.318969870189526,0.47024606005978753,0.19296826789327456,0.25451933125389004,0.009346073523762558,0.018917990895637296,0.06610368321648873,0.05610395365503549,nan,12
29,200,0.05,12,8,1.1543316407084425,1.518215100227343,0.36388345951890044,0.4760510024523361,0.7227478204015005,0.015791734003199227,0.022958874684658598,0.06629616716980927,0.05972457996573784,nan,12
30,200,0.05,12,8,0.9607658314595398,1.4106144350084238,0.449848603548884,0.44492387918682025,0.6276160464608727,0.007836720775894132,0.021020350734876028,0.06914747260506211,0.056245325375237784,nan,12
31,200,0.05,12,8,1.0641920961716094,1.5066697729840943,0.44247767681248495,0.2601745793783442,0.3919971744482021,0.017002808031026585,0.009960166393037588,0.06617144344718923,0.0536759176058345,nan,12
32,200,0.05,12,8,1.0034799606766587,1.4538600448211492,0.4503800841444905,0.2130874220054753,0.3097992889077035,0.011014858096045375,0.016691654267051104,0.06703735715842254,0.05689470790796368,nan,12
33,200,0.05,12,8,0.9006439104387184,1.1761013111692298,0.2754574007305114,-0.05408376407504211,-0.06360798584162432,0.011713735361681799,0.033943955501584466,0.06918051573732073,0.05839500854620737,nan,12
34,200,0.05,12,8,1.3272653028842962,1.6008879378647778,0.27362263498048156,0.3910608340668729,0.6260445722289962,0.00933726241507149,0.014329556573827854,0.0677685530499154,0.057708013101697514,nan,12
35,200,0.05,12,8,1.079364394212943,1.4531747138523872,0.3738103196394442,0.40471196743474064,0.5881171974696159,0.011971350561108512,0.03303059508102547,0.07661087765493986,0.06615781678479254,nan,12
36,200,0.05,12,8,1.3122117036591914,1.4200798482893489,0.10786814463015748,0.2784412367019704,0.3954087891732328,0.015021001830274543,0.012762695188218078,0.06828909607356487,0.05615183059123498,nan,12
37,200,0.05,12,8,1.4445460080067467,1.4883078547082584,0.04376184670151173,0.3145885499123421,0.46820460983581974,0.014025791122449224,0.017183831244955733,0.07096000416370501,0.05976952744681761,nan,12
38,200,0.05,12,8,0.9436354341613629,1.5157854756140658,0.572150041452703,0.4610651901842363,0.6988759185925023,0.012392185547998133,0.01690270968047408,0.07735281739661268,0.06591052347716703,nan,12
39,200,0.05,12,8,1.111271846539394,1.1325097934300024,0.021237946890608317,-0.14794093011555173,-0.16754455220500591,0.007937596405454848,0.04818610375246721,0.06639611204773227,0.06503858380951184,nan,12
0,200,0.2,12,8,1.1177893687194416,1.6200690847175747,0.5022797159981331,0.37163512918435976,0.6020745835866034,0.020392834748158156,0.015699097764936575,0.07482561924959434,0.06971980230335419,nan,12
1,200,0.2,12,8,1.1251061899425927,1.640819845096294,0.5157136551537014,0.3931087197806845,0.6450205886965452,0.027486924285954235,0.037443329794336316,0.07937677669479376,0.0776274416457001,nan,12
2,200,0.2,12,8,1.0114022284009168,1.5311864280685954,0.5197841996676786,0.32328139814672496,0.4950040892893052,0.02638436421142149,0.02291222448521882,0.07228546540576958,0.07161160869014163,nan,12
3,200,0.2,12,8,0.9548359447896377,1.6767853183065622,0.7219493735169245,0.34951300517894324,0.5860582756412575,0.013072733501315076,0.030071586879459523,0.06584506092745203,0.06746829065048271,nan,12
4,200,0.2,12,8,0.92411382515806,1.5711348026534546,0.6470209774953947,0.3196549159532469,0.5022209632934113,0.02102313854763038,0.03353911578286425,0.07482532398888705,0.07091804566905963,nan,12
5,200,0.2,12,8,0.7831273181638567,1.6673896055242647,0.884262287360408,0.36737763260688966,0.6125616459108401,0.03035694480865923,0.03127304997712315,0.08647706134198553,0.0823267915581728,nan,12
6,200,0.2,12,8,0.9429595397751517,1.4654263798125924,0.5224668400374407,0.3207925364713501,0.4700978453921096,0.016880805611252183,0.020266649810518865,0.06369998085715152,0.06270570412247503,nan,12
